,Local Authority code,Local Authority name,Threatened with homelessness within 56 days-Prevention duty owed,Homeless - Relief duty owed4,Total households with support needs,Total secured accommodation,Homeless (including intentionally homeless),Size_of_social_housing_waiting_list_2021,2021 Total Lettings,A_B_property_counts,C_D_property_counts,E_F_property_counts,G_H_property_counts,median_houses_2020,median_earning_2020,ratio_by_medians_2020,lower_quatile_houses_2020,lower_quatile_earning_2020,ratio_by_lower_quatile_2020
230,E07000093,Test Valley,51,52,60,16,9,2200,235.0,12610,26110,13680,4310,310000.0,35083,8.84,243000.0,27294,8.9
231,E07000043,North Devon,174,121,235,85,27,2311,117.0,,,,,255000.0,24765,10.3,186500.0,21472,8.69
232,E07000034,Chesterfield,77,67,96,52,5,2252,327.0,37090,10110,2530,240,160000.0,27478,5.82,120000.0,21446,5.6
233,E07000142,West Lindsey,94,54,102,62,11,1624,162.0,24840,13750,5160,600,183000.0,30442,6.01,132997.5,21604,6.16
234,E07000126,South Ribble,103,33,90,62,11,1324,215.0,23290,20750,5840,590,167000.0,29781,5.61,130000.0,21610,6.02
235,E07000137,East Lindsey,123,68,92,82,6,1226,145.0,42340,22510,4800,610,175000.0,26242,6.67,135000.0,19408,6.96
236,E07000214,Surrey Heath,13,22,16,6,7,336,54.0,3020,16200,12670,5690,430000.0,39675,10.84,331000.0,28514,11.61
237,E07000032,Amber Valley,62,27,54,50,3,2035,248.0,35060,17000,5130,1570,175000.0,33015,5.3,135000.0,21814,6.19
238,E07000102,Three Rivers,30,21,26,30,11,1208,103.0,3160,16670,11890,6670,490000.0,37918,12.92,365000.0,26983,13.53
239,W06000004,Denbighshire,,,,,,,,,,,,155000.0,26419,5.87,122500.0,20175,6.07
240,E07000050,North Dorset,,,,,,..,,,,,,,,,,,
241,E07000201,Forest Heath,,,,,,..,,,,,,,,,,,
242,E06000031,Peterborough,127,157,116,48,23,5484,473.0,56940,22990,6610,1070,205000.0,28700,7.14,160000.0,20414,7.84
243,E07000048,Christchurch,,,,,,..,,,,,,,,,,,
244,E07000069,Castle Point,30,21,27,28,2,577,32.0,9540,22420,6290,780,302500.0,33671,8.98,248000.0,24256,10.22
245,E06000002,Middlesbrough,120,162,182,35,6,4884,548.0,44130,16370,3490,590,134000.0,25849,5.18,84995.0,20670,4.11
246,E07000124,Ribble Valley,4,19,16,..,..,964,94.0,9150,10190,6470,2190,231000.0,34688,6.66,166000.0,22816,7.28
247,E07000072,Epping Forest,64,69,64,25,8,1355,49.0,7120,25840,16950,7340,467000.0,36549,12.78,351000.0,24995,14.04
248,E07000166,Richmondshire,18,14,8,3,11,461,80.0,8670,9110,4960,950,200000.0,25007,8.0,155000.0,19786,7.83
249,E06000046,Isle of Wight,124,61,100,46,33,2349,170.0,28810,30960,10330,1660,220000.0,28889,7.62,169000.0,18947,8.92
